sex,lifeStage,verbatimIdentification,eventID,basisOfRecord,occurrenceStatus,preparations,occurrenceID,identificationRemarks,scientificName,identificationQualifier,previousIdentifications,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet
,C5,Scolecithricella minor,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-1,,"Scolecithricella minor (Brady, 1883)",,,urn:lsid:marinespecies.org:taxname:104811,"Brady, 1883",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,minor
Male,C6,Mesocalanus tenuicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-2,,"Mesocalanus tenuicornis (Dana, 1849)",,,urn:lsid:marinespecies.org:taxname:104468,"Dana, 1849",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Mesocalanus,tenuicornis
,C3,Mesocalanus tenuicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-3,,"Mesocalanus tenuicornis (Dana, 1849)",,,urn:lsid:marinespecies.org:taxname:104468,"Dana, 1849",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Mesocalanus,tenuicornis
,C1,Gaetanus spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-4,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Gaetanus (Giesbrecht, 1888)",sp. indet.,,urn:lsid:marinespecies.org:taxname:104121,"Giesbrecht, 1888",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,
,C3,Neocalanus plumchrus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-5,,"Neocalanus plumchrus (Marukawa, 1921)",,,urn:lsid:marinespecies.org:taxname:196772,"Marukawa, 1921",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,plumchrus
,C5,Euchirella rostrata,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-6,,"Euchirella rostrata (Claus, 1866)",,,urn:lsid:marinespecies.org:taxname:104303,"Claus, 1866",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,rostrata
,C2,Neocalanus flemingeri,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-7,,"Neocalanus flemingeri (Miller, 1988)",,,urn:lsid:marinespecies.org:taxname:353708,"Miller, 1988",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,flemingeri
,preflexion,Sardinops sagax,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-8,,"Sardinops sagax (Jenyns, 1842)",,,urn:lsid:marinespecies.org:taxname:217452,"Jenyns, 1842",accepted,Species,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardinops,sagax
,C5,Clausocalanus lividus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-9,,"Clausocalanus lividus (Frost & Fleminger, 1968)",,,urn:lsid:marinespecies.org:taxname:104505,"Frost & Fleminger, 1968",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,lividus
Female,C6,Mesocalanus tenuicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-10,,"Mesocalanus tenuicornis (Dana, 1849)",,,urn:lsid:marinespecies.org:taxname:104468,"Dana, 1849",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Mesocalanus,tenuicornis
Female,C6,Pseudocalanus mimus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-11,,"Pseudocalanus mimus (Frost, 1989)",,,urn:lsid:marinespecies.org:taxname:355067,"Frost, 1989",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,mimus
,C5,Neocalanus cristatus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-12,,"Neocalanus cristatus (Krøyer, 1848)",,,urn:lsid:marinespecies.org:taxname:104470,"Krøyer, 1848",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,cristatus
Female,C5,Eucalanus bungii,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-13,,"Eucalanus bungii (Giesbrecht, 1893)",,,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,bungii
,,Eukrohnia hamata,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-14,,"Eukrohnia hamata (Möbius, 1875)",,,urn:lsid:marinespecies.org:taxname:105416,"Möbius, 1875",accepted,Species,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,hamata
,,Pelagobia longicirrata,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-15,,"Pelagobia longicirrata (Greeff, 1879)",,,urn:lsid:marinespecies.org:taxname:130219,"Greeff, 1879",accepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Lopadorrhynchidae,Pelagobia,longicirrata
,larvae,Siphonophora spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-16,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Siphonophorae (Eschscholtz, 1829)",sp. indet.,,urn:lsid:marinespecies.org:taxname:1371,"Eschscholtz, 1829",accepted,Order,Animalia,Cnidaria,Hydrozoa,Siphonophorae,,,
Female,C5,Pseudocalanus newmani,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-17,,"Pseudocalanus newmani (Frost, 1989)",,,urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,newmani
,C3,Neocalanus flemingeri,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-18,,"Neocalanus flemingeri (Miller, 1988)",,,urn:lsid:marinespecies.org:taxname:353708,"Miller, 1988",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,flemingeri
,,Oikopleura spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-19,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Oikopleura (Mertens, 1830)",sp. indet.,,urn:lsid:marinespecies.org:taxname:103367,"Mertens, 1830",accepted,Genus,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,
,,Cliopsis krohnii,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-20,,"Cliopsis krohnii (Troschel, 1854)",,,urn:lsid:marinespecies.org:taxname:139185,"Troschel, 1854",accepted,Species,Animalia,Mollusca,Gastropoda,Pteropoda,Cliopsidae,Cliopsis,krohnii
,juvenile,Euphausia pacifica,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-21,,"Euphausia pacifica (Hansen, 1911)",,,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica
,,Eukrohnia hamata,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-22,,"Eukrohnia hamata (Möbius, 1875)",,,urn:lsid:marinespecies.org:taxname:105416,"Möbius, 1875",accepted,Species,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,hamata
Female,adult,Euphausia pacifica,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-23,,"Euphausia pacifica (Hansen, 1911)",,,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica
,calyptopis,Euphausiidae spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-24,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Euphausiidae (Dana, 1850)",sp. indet.,,urn:lsid:marinespecies.org:taxname:110671,"Dana, 1850",accepted,Family,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,,
,nectophore,Muggiaea atlantica,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-25,,"Muggiaea atlantica (Cunningham, 1892)",,,urn:lsid:marinespecies.org:taxname:135441,"Cunningham, 1892",accepted,Species,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Muggiaea,atlantica
Male,C6,Metridia aff lucens,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-26,,"Metridia lucens (Boeck, 1865)",,,urn:lsid:marinespecies.org:taxname:104633,"Boeck, 1865",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,lucens
,,Clione limacina,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-27,,"Clione limacina (Phipps, 1774)",,,urn:lsid:marinespecies.org:taxname:139178,"Phipps, 1774",accepted,Species,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,limacina
,C5,Aetideus pacificus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-28,,"Aetideus pacificus (Brodsky, 1950)",,,urn:lsid:marinespecies.org:taxname:254648,"Brodsky, 1950",unaccepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,pacificus
Male,C4,Eucalanus bungii,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-29,,"Eucalanus bungii (Giesbrecht, 1893)",,,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,bungii
Female,C6,Paracalanus parvus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-30,,"Paracalanus parvus (Claus, 1863)",,,urn:lsid:marinespecies.org:taxname:104685,"Claus, 1863",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,parvus
,C5,Ctenocalanus vanus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-31,,"Ctenocalanus vanus (Giesbrecht, 1888)",,,urn:lsid:marinespecies.org:taxname:104510,"Giesbrecht, 1888",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Ctenocalanus,vanus
,,Discoconchoecia elegans,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-32,,"Discoconchoecia elegans (Sars, 1866)",,,urn:lsid:marinespecies.org:taxname:127782,"Sars, 1866",accepted,Species,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,elegans
,C5,Clausocalanus arcuicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-33,,"Clausocalanus arcuicornis (Dana, 1849)",,,urn:lsid:marinespecies.org:taxname:104502,"Dana, 1849",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,arcuicornis
,,Fritillaria pellucida,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-34,,"Fritillaria pellucida (Busch, 1851)",,,urn:lsid:marinespecies.org:taxname:103386,"Busch, 1851",accepted,Species,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,pellucida
Female,C4,Eucalanus bungii,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-35,,"Eucalanus bungii (Giesbrecht, 1893)",,,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,bungii
,,Atlanta spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-36,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Atlanta (Lesueur, 1817)",sp. indet.,,urn:lsid:marinespecies.org:taxname:137687,"Lesueur, 1817",accepted,Genus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta,
,C2,Gaetanus spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-37,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Gaetanus (Giesbrecht, 1888)",sp. indet.,,urn:lsid:marinespecies.org:taxname:104121,"Giesbrecht, 1888",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,
,C3,Racovitzanus antarcticus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-38,,"Racovitzanus antarcticus (Giesbrecht, 1902)",,,urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,antarcticus
,C5,Spinocalanus longicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-39,,"Spinocalanus longicornis (Sars G.O., 1900)",,,urn:lsid:marinespecies.org:taxname:104852,"Sars G.O., 1900",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Spinocalanidae,Spinocalanus,longicornis
Male,C6,Clytemnestra scutellata,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-40,,"Clytemnestra scutellata (Dana, 1847)",,,urn:lsid:marinespecies.org:taxname:115805,"Dana, 1847",accepted,Species,Animalia,Arthropoda,Copepoda,Harpacticoida,Peltidiidae,Clytemnestra,scutellata
,C4,Euchirella rostrata,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-41,,"Euchirella rostrata (Claus, 1866)",,,urn:lsid:marinespecies.org:taxname:104303,"Claus, 1866",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,rostrata
,C2,Neocalanus plumchrus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-42,,"Neocalanus plumchrus (Marukawa, 1921)",,,urn:lsid:marinespecies.org:taxname:196772,"Marukawa, 1921",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,plumchrus
,,Limacina helicina,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-43,,"Limacina helicina (Phipps, 1774)",,,urn:lsid:marinespecies.org:taxname:140223,"Phipps, 1774",accepted,Species,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,helicina
,juvenile,Chaetognatha spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-44,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.",Chaetognatha,sp. indet.,,urn:lsid:marinespecies.org:taxname:2081,,accepted,Phylum,Animalia,Chaetognatha,,,,,
,C5,Lucicutia flavicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-45,,"Lucicutia flavicornis (Claus, 1863)",,,urn:lsid:marinespecies.org:taxname:104597,"Claus, 1863",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,flavicornis
,,Doliolid spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-46,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Doliolidae (Bronn, 1862)",sp. indet.,,urn:lsid:marinespecies.org:taxname:137215,"Bronn, 1862",accepted,Family,Animalia,Chordata,Thaliacea,Doliolida,Doliolidae,,
Male,C6,Pseudocalanus newmani,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-47,,"Pseudocalanus newmani (Frost, 1989)",,,urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,newmani
,,Tomopteris spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-48,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Tomopteris (Eschscholtz, 1825)",sp. indet.,,urn:lsid:marinespecies.org:taxname:129715,"Eschscholtz, 1825",accepted,Genus,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,
,C1,Neocalanus cristatus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-49,,"Neocalanus cristatus (Krøyer, 1848)",,,urn:lsid:marinespecies.org:taxname:104470,"Krøyer, 1848",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,cristatus
,C4,Neocalanus flemingeri,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-50,,"Neocalanus flemingeri (Miller, 1988)",,,urn:lsid:marinespecies.org:taxname:353708,"Miller, 1988",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,flemingeri
Male,C6,Eucalanus bungii,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-51,,"Eucalanus bungii (Giesbrecht, 1893)",,,urn:lsid:marinespecies.org:taxname:196775,"Giesbrecht, 1893",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,bungii
Female,C6,Clausocalanus arcuicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-52,,"Clausocalanus arcuicornis (Dana, 1849)",,,urn:lsid:marinespecies.org:taxname:104502,"Dana, 1849",alternate representation,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,arcuicornis
,C2,Metridia spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-53,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Metridia (Boeck, 1865)",sp. indet.,,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,
,,Tomopteris septentrionalis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-54,,"Tomopteris septentrionalis (Steenstrup, 1849)",,,urn:lsid:marinespecies.org:taxname:131568,"Steenstrup, 1849",accepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,septentrionalis
,C4,Metridia spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-55,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Metridia (Boeck, 1865)",sp. indet.,,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,
,,Aglantha digitale,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-56,,"Aglantha digitale (O. F. Müller, 1776)",,,urn:lsid:marinespecies.org:taxname:117849,"O. F. Müller, 1776",accepted,Species,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,digitale
,old nurse,Doliolid spp. (old nurse),IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-57,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Doliolidae (Bronn, 1862)",sp. indet.,,urn:lsid:marinespecies.org:taxname:137215,"Bronn, 1862",accepted,Family,Animalia,Chordata,Thaliacea,Doliolida,Doliolidae,,
,C4,Neocalanus plumchrus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-58,,"Neocalanus plumchrus (Marukawa, 1921)",,,urn:lsid:marinespecies.org:taxname:196772,"Marukawa, 1921",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,plumchrus
,C3,Metridia spp.,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-59,"Taxa is within this taxonomic rank but cannot be identified further due to life stage, missing body parts or due to the destructive nature of the sampling, preservation and analysis process.","Metridia (Boeck, 1865)",sp. indet.,,urn:lsid:marinespecies.org:taxname:104190,"Boeck, 1865",accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,
Female,C6,Aetideus pacificus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-60,,"Aetideus pacificus (Brodsky, 1950)",,,urn:lsid:marinespecies.org:taxname:254648,"Brodsky, 1950",unaccepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,pacificus
,,Pseudosagitta lyra,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-61,,"Pseudosagitta scrippsae (Alvariño, 1962)",,Pseudosagitta scrippsae,urn:lsid:marinespecies.org:taxname:266259,"Alvariño, 1962",unaccepted,Species,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,scrippsae
,,Aglantha digitale,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-62,,"Aglantha digitale (O. F. Müller, 1776)",,,urn:lsid:marinespecies.org:taxname:117849,"O. F. Müller, 1776",accepted,Species,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,digitale
,,Parasagitta elegans,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-63,,"Parasagitta elegans (Verrill, 1873)",,,urn:lsid:marinespecies.org:taxname:105440,"Verrill, 1873",accepted,Species,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,elegans
Male,adult,Euphausia pacifica,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-64,,"Euphausia pacifica (Hansen, 1911)",,,urn:lsid:marinespecies.org:taxname:237851,"Hansen, 1911",accepted,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica
,C5,Oithona similis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-65,,"Oithona similis (Claus, 1866)",,,urn:lsid:marinespecies.org:taxname:106656,"Claus, 1866",accepted,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,similis
Female,adult,Themisto pacifica,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-66,,"Themisto pacifica (Stebbing, 1888)",,,urn:lsid:marinespecies.org:taxname:254453,"Stebbing, 1888",accepted,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,pacifica
,,Limacina helicina,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-67,,"Limacina helicina (Phipps, 1774)",,,urn:lsid:marinespecies.org:taxname:140223,"Phipps, 1774",accepted,Species,Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,helicina
,C5,Mesocalanus tenuicornis,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-68,,"Mesocalanus tenuicornis (Dana, 1849)",,,urn:lsid:marinespecies.org:taxname:104468,"Dana, 1849",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Mesocalanus,tenuicornis
,C5,Eucalanus hyalinus,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-69,,"Eucalanus hyalinus (Claus, 1866)",,,urn:lsid:marinespecies.org:taxname:345781,"Claus, 1866",accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,hyalinus
Female,C6,Oithona atlantica,IYS2022-Franklin-5-46-144-Bongo-1,HumanObservation,present,formalin,IYS2022-Franklin-5-46-144-Bongo-1-70,,"Oithona atlantica (Farran, 1908)",,,urn:lsid:marinespecies.org:taxname:106642,"Farran, 1908",accepted,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,atlantica
